day,battery_temp_median,x_plus_temp_median,x_minus_temp_median,y_plus_temp_median,y_minus_temp_median,z_plus_temp_median,z_minus_temp_median,bpb_temp_median
98,3.701616,-2.056885,-4.139088,-7.315493,-3.459387,9.343890,-10.498524,-0.799629
99,2.129850,-6.390381,-4.082431,-7.315497,-5.329473,10.017764,-10.100291,-0.743194
100,1.528651,-7.336426,-7.997012,-8.451527,-7.883404,6.364132,-10.498524,-4.025762
101,1.930488,-5.200195,-7.031702,-8.906182,-7.031643,-0.178238,-9.759015,-2.949655
102,2.329211,-8.068848,-5.159353,-7.997012,-4.592452,2.532571,-10.157167,-2.100584
103,5.042778,-3.125000,13.270647,12.990480,10.803570,10.859681,24.935855,8.838106
104,3.507895,-5.871582,-3.232749,-7.656214,-1.421686,8.276343,-9.474682,0.387239
105,3.895338,-10.815430,-2.157299,-7.201953,-4.819339,-3.180545,-11.978895,-7.769873
106,3.507895,-3.918457,-4.819187,-7.883404,-4.819187,-2.326950,-11.636933,-0.969255
107,1.123571,7.617188,16.013454,15.118378,13.438715,12.093671,33.144046,14.558692
108,2.724942,2.124023,7.376774,9.175387,4.787586,6.251575,-2.779782,7.151800
109,1.930488,-9.716797,-9.815886,-12.320388,-9.019862,-7.201936,-12.434326,-3.912450
110,1.123571,-9.777832,-9.360968,-11.693962,-9.247768,-7.373044,-12.377664,-3.515930
111,1.123571,-4.132080,-3.515930,-6.407425,-3.346216,3.209419,-8.281196,-1.478276
112,0.715116,-11.944580,-9.986985,-11.181535,-10.043415,-13.517840,-15.057319,-4.875928
