recorded_at,source,name,line1,line2
2024-12-20T21:00:22.95792+09:00,gs_db,YOMOGI,1 62298U 98067XE  24355.13623575  .00082252  00000+0  12872-2 0  9998,2 62298  51.6372 113.9727 0011918 353.1251   6.9574 15.52954888  1673
2024-12-21T03:00:21.428371+09:00,gs_db,YOMOGI,1 62298U 98067XE  24355.13623575  .00082252  00000+0  12872-2 0  9998,2 62298  51.6372 113.9727 0011918 353.1251   6.9574 15.52954888  1673
2024-12-21T09:00:28.280219+09:00,gs_db,YOMOGI,1 62298U 98067XE  24355.58667900  .00078807  00000+0  12306-2 0  9990,2 62298  51.6372 111.7306 0011957 354.9004   5.1863 15.53033897  1749
2024-12-21T15:00:10.544627+09:00,gs_db,YOMOGI,1 62298U 98067XE  24355.58667900  .00078807  00000+0  12306-2 0  9990,2 62298  51.6372 111.7306 0011957 354.9004   5.1863 15.53033897  1749
2024-12-21T18:49:09.054253+09:00,gs_db,YOMOGI,1 62298U 98067XE  24356.16578696  .00092468  00000+0  14346-2 0  9993,2 62298  51.6369 108.8487 0012089 357.4740   2.6187 15.53139342  1837
2024-12-21T21:00:20.98343+09:00,gs_db,YOMOGI,1 62298U 98067XE  24356.16578696  .00092468  00000+0  14346-2 0  9993,2 62298  51.6369 108.8487 0012089 357.4740   2.6187 15.53139342  1837
2024-12-22T03:00:07.507961+09:00,gs_db,YOMOGI,1 62298U 98067XE  24356.16578696  .00092468  00000+0  14346-2 0  9993,2 62298  51.6369 108.8487 0012089 357.4740   2.6187 15.53139342  1837
2024-12-22T09:00:29.416181+09:00,gs_db,YOMOGI,1 62298U 98067XE  24356.55183574  .00092332  00000+0  14286-2 0  9996,2 62298  51.6367 106.9264 0012091 358.7468   1.3490 15.53215156  1898
2024-12-22T15:00:07.843348+09:00,gs_db,YOMOGI,1 62298U 98067XE  24356.55183574  .00092332  00000+0  14286-2 0  9996,2 62298  51.6367 106.9264 0012091 358.7468   1.3490 15.53215156  1898
2024-12-22T21:00:29.998059+09:00,gs_db,YOMOGI,1 62298U 98067XE  24356.80919167  .00094434  00000+0  14578-2 0  9998,2 62298  51.6366 105.6449 0012124 359.7843   0.3140 15.53267241  1931
2024-12-23T03:00:11.824145+09:00,gs_db,YOMOGI,1 62298U 98067XE  24356.80919167  .00094434  00000+0  14578-2 0  9998,2 62298  51.6366 105.6449 0012124 359.7843   0.3140 15.53267241  1931
2024-12-23T09:00:27.959978+09:00,gs_db,YOMOGI,1 62298U 98067XE  24357.51687740  .00098053  00000+0  15050-2 0  9993,2 62298  51.6367 102.1211 0012273   2.2916 357.8129 15.53406024  2041
2024-12-23T15:00:08.978742+09:00,gs_db,YOMOGI,1 62298U 98067XE  24357.51687740  .00098053  00000+0  15050-2 0  9993,2 62298  51.6367 102.1211 0012273   2.2916 357.8129 15.53406024  2041
2024-12-23T21:00:29.523559+09:00,gs_db,YOMOGI,1 62298U 98067XE  24357.51687740  .00098053  00000+0  15050-2 0  9993,2 62298  51.6367 102.1211 0012273   2.2916 357.8129 15.53406024  2041
2024-12-24T03:00:11.512748+09:00,gs_db,YOMOGI,1 62298U 98067XE  24358.48179528  .00106914  00000+0  16261-2 0  9991,2 62298  51.6370  97.3148 0012451   6.1259 353.9882 15.53613365  2197
2024-12-24T09:00:24.356361+09:00,gs_db,YOMOGI,1 62298U 98067XE  24358.48179528  .00106914  00000+0  16261-2 0  9991,2 62298  51.6370  97.3148 0012451   6.1259 353.9882 15.53613365  2197
2024-12-24T15:00:09.839221+09:00,gs_db,YOMOGI,1 62298U 98067XE  24358.48179528  .00106914  00000+0  16261-2 0  9991,2 62298  51.6370  97.3148 0012451   6.1259 353.9882 15.53613365  2197
2024-12-24T21:00:27.78332+09:00,gs_db,YOMOGI,1 62298U 98067XE  24358.48179528  .00106914  00000+0  16261-2 0  9991,2 62298  51.6370  97.3148 0012451   6.1259 353.9882 15.53613365  2197
2024-12-25T03:00:09.497646+09:00,gs_db,YOMOGI,1 62298U 98067XE  24358.48179528  .00106914  00000+0  16261-2 0  9991,2 62298  51.6370  97.3148 0012451   6.1259 353.9882 15.53613365  2197
2024-12-25T09:00:24.685562+09:00,gs_db,YOMOGI,1 62298U 98067XE  24359.44658516  .00106989  00000+0  16149-2 0  9994,2 62298  51.6365  92.5077 0012638  10.0374 350.0867 15.53819770  2344
2024-12-25T15:00:09.192127+09:00,gs_db,YOMOGI,1 62298U 98067XE  24359.83246489  .00104961  00000+0  15800-2 0  9990,2 62298  51.6366  90.5851 0012702  11.4920 348.6358 15.53902762  2406
2024-12-25T21:00:21.967587+09:00,gs_db,YOMOGI,1 62298U 98067XE  24359.83246489  .00104961  00000+0  15800-2 0  9990,2 62298  51.6366  90.5851 0012702  11.4920 348.6358 15.53902762  2406
2024-12-26T03:00:06.676959+09:00,gs_db,YOMOGI,1 62298U 98067XE  24359.83246489  .00104961  00000+0  15800-2 0  9990,2 62298  51.6366  90.5851 0012702  11.4920 348.6358 15.53902762  2406
2024-12-26T09:00:21.387683+09:00,gs_db,YOMOGI,1 62298U 98067XE  24360.53985537  .00111799  00000+0  16712-2 0  9993,2 62298  51.6369  87.0598 0012805  13.9878 346.1465 15.54062268  2514
2024-12-26T15:00:12.27171+09:00,gs_db,YOMOGI,1 62298U 98067XE  24360.53985537  .00111799  00000+0  16712-2 0  9993,2 62298  51.6369  87.0598 0012805  13.9878 346.1465 15.54062268  2514
