time_utc,+X_HK,-X_HK,+Y_HK,-Y_HK,+Z_HK,-Z_HK,BPB_HK,BAT_HK,COM_UHF_HK,t_s,-X_V,+Y_V,-Y_V,+Z_V,-Z_V,-X_I,+Y_I,-Y_I,+Z_I,-Z_I
2024-09-24T05:28:33Z,-25.09765625,1.7425343405796667,0.8391368708409033,-1.7610974097831154,0.2742433674195297,26.492147661764083,-0.1778212080350769,1.1235710475314704,-6.658731151293239,2231013.0,5.16510009765625,5.1055908203125,5.17578125,5.13916015625,5.194091796875,0.06703125,0.0103125,0.0721874999999999,0.020625,0.1598437499999999
2024-09-24T05:28:38Z,-24.853515625,1.6296387172555882,0.8391368708409033,-1.6479520082114547,0.2742433674195297,26.93648934859791,-0.0647925757566412,1.1235710475314704,-6.658731151293239,2231018.0,5.17120361328125,5.00946044921875,5.28564453125,5.21240234375,5.2520751953125,0.00515625,0.00515625,0.1701562499999999,0.0154687499999999,0.0464062499999999
2024-09-24T05:28:43Z,-26.86767578125,1.5167347946245575,0.7261748017696839,-1.5348149593080969,0.3872387033903379,27.49173867011948,-0.0647925757566412,1.1235710475314704,-6.658731151293239,2231023.0,5.05523681640625,4.9652099609375,5.1025390625,5.11016845703125,5.15594482421875,0.0103125,0.00515625,0.02578125,0.02578125,0.1753124999999999
2024-09-24T05:28:49Z,-27.4169921875,1.4038225708564769,0.6132044187282482,-1.5348149593080969,0.3872387033903379,27.824793524182024,0.0482277296851023,1.1235710475314704,-6.658731151293239,2231029.0,5.36956787109375,5.41534423828125,5.22918701171875,5.23834228515625,5.2276611328125,0.0464062499999999,0.1856249999999999,0.00515625,0.00515625,0.00515625
2024-09-24T05:29:01Z,-24.9755859375,1.8554216664274072,1.0650360744135234,-1.5348149593080969,0.3872387033903379,28.379727195373732,0.2742433674195297,1.1235710475314704,-6.658731151293239,2231041.0,5.15289306640625,5.0506591796875,5.23529052734375,5.18951416015625,5.22308349609375,0.0103125,0.00515625,0.1340625,0.020625,0.0773437499999999
2024-09-24T05:29:07Z,-26.9287109375,2.081171433008965,0.9520906277773022,-1.6479520082114547,0.3872387033903379,28.7125928206771,0.3872387033903379,1.1235710475314704,-6.658731151293239,2231047.0,5.12847900390625,5.20477294921875,5.157470703125,5.133056640625,5.157470703125,0.020625,0.1598437499999999,0.0309374999999999,0.0103125,0.0309374999999999
2024-09-24T05:29:13Z,-27.5390625,2.081171433008965,1.1779732125832076,-1.5348149593080969,0.2742433674195297,28.8235322762812,0.6132044187282482,1.1235710475314704,-6.658731151293239,2231053.0,4.9468994140625,5.43212890625,5.2947998046875,5.242919921875,5.2001953125,0.00515625,0.226875,0.00515625,0.0,0.00515625
2024-09-24T05:29:18Z,-26.5625,1.9683006966273917,1.5167347946245575,-1.421686261223769,0.2742433674195297,29.045387568304765,0.6132044187282482,1.1235710475314704,-6.658731151293239,2231058.0,5.24139404296875,5.0994873046875,5.05523681640625,5.19561767578125,5.224609375,0.1546874999999999,0.00515625,0.00515625,0.020625,0.0618749999999999
2024-09-24T05:29:24Z,-24.9755859375,1.9683006966273917,1.5167347946245575,-1.421686261223769,0.1612397101308467,29.37811148351346,0.7261748017696839,1.1235710475314704,-6.658731151293239,2231064.0,5.194091796875,5.15594482421875,5.2947998046875,5.2215576171875,5.22918701171875,0.00515625,0.00515625,0.20625,0.0103125,0.0154687499999999
2024-09-24T05:29:30Z,-26.13525390625,1.8554216664274072,1.5167347946245575,-1.308565912108932,0.1612397101308467,29.045387568304765,0.7261748017696839,1.1235710475314704,-6.658731151293239,2231070.0,5.07659912109375,5.07354736328125,5.09185791015625,5.096435546875,5.13916015625,0.020625,0.0154687499999999,0.02578125,0.02578125,0.1546874999999999
