time_utc,+X_HK,-X_HK,+Y_HK,-Y_HK,+Z_HK,-Z_HK,BPB_HK,BAT_HK,COM_UHF_HK,t_s,-X_V,+Y_V,-Y_V,+Z_V,-Z_V,-X_I,+Y_I,-Y_I,+Z_I,-Z_I,BAT_V,RAW_V(FAB),RAW_V(RESET),SRC_V,BAT_I,RAW_I,SRC_I
2024-08-29T09:45:09Z,-27.47802734375,24.046003517902196,23.93472390247279,23.93472390247279,23.82343633907811,23.48952594406436,24.82473842581628,22.91918877242881,0.0,9.0,1.57470703125,1.26953125,1.63726806640625,1.2725830078125,0.0,0.33,0.00515625,0.00515625,0.0,0.00515625,4.25390625,4.25390625,4.15078125,5.053125,0.0375948902343756,0.1194260219238281,-0.0410098647460936
2024-08-29T09:45:09Z,-30.04150390625,23.93472390247279,23.712140826014235,23.712140826014235,24.49104253400712,23.378206571768462,23.93472390247279,23.264357147490728,0.0,9.0,1.5228271484375,1.53961181640625,1.6693115234375,2.80303955078125,1.35955810546875,0.2887499999999999,0.00515625,0.00515625,0.0,0.00515625,4.25390625,4.25390625,4.15078125,5.053125,0.0375948902343756,0.1194260219238281,-0.0410098647460936
2024-08-29T09:45:09Z,-31.93359375,20.927164362541408,22.04175300972068,20.81566155824587,21.373095655232532,21.48455850587405,21.48455850587405,22.57457116670872,0.0,9.0,4.5928955078125,4.67987060546875,4.55780029296875,4.6112060546875,4.64019775390625,0.4743749999999999,0.4949999999999999,0.0103125,0.04125,0.1701562499999999,4.25390625,4.25390625,4.15078125,5.053125,0.0375948902343756,0.1194260219238281,-0.0410098647460936
2024-08-29T09:45:09Z,-29.79736328125,24.82473842581628,24.82473842581628,24.60228243513599,24.935954518765236,24.49104253400712,24.60228243513599,25.0,0.0,9.0,1.52130126953125,1.52130126953125,1.5167236328125,1.30767822265625,3.06549072265625,0.2474999999999999,0.00515625,0.00515625,0.00515625,0.00515625,4.25390625,4.25390625,4.15078125,5.053125,0.0375948902343756,0.1194260219238281,-0.0410098647460936
2024-08-29T09:45:09Z,-30.40771484375,24.935954518765236,24.935954518765236,25.047162679050317,25.047162679050317,24.71351439850608,24.82473842581628,25.34940082035604,0.0,9.0,2.4810791015625,2.11639404296875,2.18658447265625,1.32904052734375,3.5186767578125,0.2371874999999999,0.00515625,0.00515625,0.0,0.00515625,4.25390625,4.25390625,4.15078125,5.053125,0.0375948902343756,0.1194260219238281,-0.0410098647460936
2024-08-29T09:46:17Z,-38.28125,23.82343633907811,23.712140826014235,23.60083736157797,24.60228243513599,23.266879242984828,23.93472390247279,23.264357147490728,24.15265305561914,77.0,1.5228271484375,1.5411376953125,1.6571044921875,2.79388427734375,1.361083984375,0.00515625,0.00515625,0.0,0.0,0.00515625,4.25390625,4.2281249999999995,4.15078125,5.0015624999999995,0.0438504619140625,0.2619836822753905,-0.0473176118164061
2024-08-29T09:46:33Z,-37.9150390625,24.71351439850608,24.71351439850608,24.71351439850608,25.047162679050317,24.49104253400712,24.71351439850608,25.0,0.0,93.0,1.33514404296875,1.30157470703125,3.82232666015625,1.8951416015625,1.446533203125,0.00515625,0.00515625,0.00515625,0.0,0.00515625,4.25390625,4.25390625,4.15078125,5.053125,0.0438504619140625,0.1129461282714842,-0.0441637382812498
2024-08-29T09:46:33Z,-33.642578125,20.369570364979896,21.373095655232532,18.69558709370967,21.26162481729635,18.807242114660394,21.373095655232532,22.57457116670872,0.0,93.0,4.66766357421875,4.66461181640625,4.5867919921875,4.66156005859375,4.60357666015625,0.4125,0.2526562499999999,0.020625,0.28359375,0.02578125,4.25390625,4.25390625,4.15078125,5.053125,0.0438504619140625,0.1129461282714842,-0.0441637382812498
2024-08-29T09:46:33Z,-38.28125,23.93472390247279,23.712140826014235,23.712140826014235,23.93472390247279,23.378206571768462,23.48952594406436,22.91918877242881,0.0,93.0,2.11639404296875,1.28631591796875,1.74560546875,1.30462646484375,1.38092041015625,0.00515625,0.00515625,0.00515625,0.0,0.00515625,4.25390625,4.25390625,4.15078125,5.053125,0.0438504619140625,0.1129461282714842,-0.0441637382812498
2024-08-29T09:46:33Z,-37.85400390625,25.047162679050317,25.047162679050317,25.047162679050317,25.158362908369163,24.71351439850608,24.935954518765236,25.34940082035604,0.0,93.0,1.79901123046875,1.31683349609375,3.55682373046875,2.0721435546875,1.43890380859375,0.00515625,0.00515625,0.00515625,0.0,0.00515625,4.25390625,4.25390625,4.15078125,5.053125,0.0438504619140625,0.1129461282714842,-0.0441637382812498
