station,packets,category,dates
JS1YKP,697,CIT,14
JS1YMX,1,CIT,1
7L2MDI,3,amateur,1
RS0ISS,2,amateur,1
BH6IDD,1,amateur,1
DP0SNX,1,amateur,1
