date,time_jst,from,to,via,info,source_log
2024-07-05,,JI1IZR,CQ,JS1YMX,=3521.15N\13917.30ES73' Via Satellite,20240705.txt
2024-07-05,,JS2QVS-6,STTRU5,RS0ISS,'AFIl  -/],20240705.txt
2024-07-05,,JI1IZR,CQ,JS1YMX,=3521.15N\13917.30ES73' Via Satellite,20240705.txt
2024-07-05,,JI1IZR,CQ,JS1YMX,Software: UISS 5.4.4,20240705.txt
2024-07-05,,JH4DHX-3,CQ,JS1YMX,,20240705.txt
2024-07-05,,JI1IZR,CQ,JS1YMX,=3521.15N\13917.30ES73' Via S,20240705.txt
