station,packets,category,dates
JS1YPT,138,CIT,4
JS1YKP,75,CIT,5
JS1YUL,35,CIT,2
JH4DHX,4,amateur,1
JI1IZR,4,amateur,1
JA5BLZ,2,amateur,1
JR7IMN,2,amateur,1
