recorded_at,source,name,line1,line2
2025-10-15T03:00:12.844061+09:00,gs_db,BOTAN,1 65943U 98067XQ  25286.87873425  .00058467  00000+0  99121-3 0  9998,2 65943  51.6330  78.8051 0003765 245.3184 114.7413 15.50938028   545
2025-10-15T03:00:14.14647+09:00,gs_db,BOTAN,1 65943U 98067XQ  25286.87873425  .00058467  00000+0  99121-3 0  9998,2 65943  51.6330  78.8051 0003765 245.3184 114.7413 15.50938028   545
2025-10-15T06:00:23.274936+09:00,gs_db,BOTAN,1 65943U 98067XQ  25287.13647130  .00054339  00000+0  92160-3 0  9990,2 65943  51.6328  77.5269 0003712 247.5724 112.4872 15.50958410   580
2025-10-15T09:00:42.524459+09:00,gs_db,BOTAN,1 65943U 98067XQ  25287.13647130  .00054339  00000+0  92160-3 0  9990,2 65943  51.6328  77.5269 0003712 247.5724 112.4872 15.50958410   580
2025-10-15T09:00:46.216692+09:00,gs_db,BOTAN,1 65943U 98067XQ  25287.13647130  .00054339  00000+0  92160-3 0  9990,2 65943  51.6328  77.5269 0003712 247.5724 112.4872 15.50958410   580
2025-10-15T12:00:19.045184+09:00,gs_db,BOTAN,1 65943U 98067XQ  25287.13647130  .00054339  00000+0  92160-3 0  9990,2 65943  51.6328  77.5269 0003712 247.5724 112.4872 15.50958410   580
2025-10-15T15:00:12.190344+09:00,gs_db,BOTAN,1 65943U 98067XQ  25287.84522252  .00052018  00000+0  88036-3 0  9994,2 65943  51.6324  74.0092 0003754 251.1046 108.9537 15.51036942   694
2025-10-15T15:00:15.714503+09:00,gs_db,BOTAN,1 65943U 98067XQ  25287.84522252  .00052018  00000+0  88036-3 0  9994,2 65943  51.6324  74.0092 0003754 251.1046 108.9537 15.51036942   694
2025-10-15T18:00:23.631945+09:00,gs_db,BOTAN,1 65943U 98067XQ  25287.84522252  .00052018  00000+0  88036-3 0  9994,2 65943  51.6324  74.0092 0003754 251.1046 108.9537 15.51036942   694
2025-10-15T21:00:27.542699+09:00,gs_db,BOTAN,1 65943U 98067XQ  25287.84522252  .00052018  00000+0  88036-3 0  9994,2 65943  51.6324  74.0092 0003754 251.1046 108.9537 15.51036942   694
2025-10-15T21:00:30.769703+09:00,gs_db,BOTAN,1 65943U 98067XQ  25287.84522252  .00052018  00000+0  88036-3 0  9994,2 65943  51.6324  74.0092 0003754 251.1046 108.9537 15.51036942   694
2025-10-16T00:00:17.764435+09:00,gs_db,BOTAN,1 65943U 98067XQ  25287.84522252  .00052018  00000+0  88036-3 0  9994,2 65943  51.6324  74.0092 0003754 251.1046 108.9537 15.51036942   694
2025-10-16T03:00:14.570315+09:00,gs_db,BOTAN,1 65943U 98067XQ  25287.84522252  .00052018  00000+0  88036-3 0  9994,2 65943  51.6324  74.0092 0003754 251.1046 108.9537 15.51036942   694
2025-10-16T03:00:16.50954+09:00,gs_db,BOTAN,1 65943U 98067XQ  25287.84522252  .00052018  00000+0  88036-3 0  9994,2 65943  51.6324  74.0092 0003754 251.1046 108.9537 15.51036942   694
2025-10-16T06:00:29.396699+09:00,gs_db,BOTAN,1 65943U 98067XQ  25288.42508488  .00058863  00000+0  99215-3 0  9999,2 65943  51.6323  71.1318 0003740 255.7962 104.2611 15.51098333   788
