time_utc,sec,minute,hour,day,x_plus,x_minus,y_plus,y_minus,z_plus,z_minus,bpb,v_xm,v_yp,v_ym,v_zp,v_zm,i_xm,i_yp,i_ym,i_zp,i_zm,bat_temp,bat_v,bat_i,fab_v,fab_i,src_v,src_i,elapsed_s,file,cmd_time_jst,n_cmd,session
2024-05-30T04:49:09Z,9,57,16,22,-3.4912109375,10.410718224584468,7.039300591629992,11.30852083594639,17.01979736654321,-3.5725613097155176,13.438714674982815,1.30615234375,1.30615234375,1.21307373046875,1.26953125,1.26800537109375,0.00515625,0.00515625,0.0,0.00515625,0.0,5.420619473104864,4.1765625,1.2207031249999831e-05,4.15078125,-0.0004351806640625,3.78984375,-0.00031259765625,1961829,HK_20240603_1826_HSHK.txt,2024-06-02 18:29:43,1,20240603_1826
2024-05-30T04:49:15Z,15,57,16,22,-3.79638671875,10.073907677859502,6.814277160604782,10.971905988170644,16.684422131201373,-3.5725613097155176,13.438714674982815,1.3092041015625,1.30615234375,1.2054443359375,1.26953125,1.26800537109375,0.00515625,0.00515625,0.0,0.0,0.00515625,5.420619473104864,4.1765625,-5.493164062499967e-05,4.15078125,-0.0003955078125,3.78984375,-0.000296484375,1961835,HK_20240603_1826_HSHK.txt,2024-06-02 18:29:43,1,20240603_1826
2024-05-30T04:49:21Z,21,57,16,22,12.80517578125,9.737023655982568,6.701753122260406,10.74745534421119,16.460798344096872,-3.6858489902954545,13.438714674982815,1.30615234375,1.30767822265625,1.2054443359375,1.26953125,1.26800537109375,0.00515625,0.00515625,0.0,0.00515625,0.00515625,5.420619473104864,4.1765625,2.4414062499999663e-05,4.1765625,-0.000474853515625,3.78984375,-0.000296484375,1961841,HK_20240603_1826_HSHK.txt,2024-06-02 18:29:43,1,20240603_1826
2024-05-30T04:49:27Z,27,57,16,22,12.744140625,9.400066110846684,6.364131694298287,10.522972087321453,16.12530218324907,-3.6858489902954545,13.438714674982815,1.30615234375,1.30615234375,1.2054443359375,1.26800537109375,1.26800537109375,0.00515625,0.00515625,0.0,0.0,0.0,5.420619473104864,4.1765625,3.0517578125e-05,4.1765625,-0.0004779052734375,3.78984375,-0.0003005126953125,1961847,HK_20240603_1826_HSHK.txt,2024-06-02 18:29:43,1,20240603_1826
2024-05-30T04:49:33Z,33,57,16,22,12.19482421875,9.063034994292654,6.026436259108042,10.186186021632878,15.901597735528,-3.799145056952824,13.21462183766954,1.30615234375,1.30615234375,1.20697021484375,1.26800537109375,1.26800537109375,0.00515625,0.00515625,0.0,0.00515625,0.00515625,5.420619473104864,4.1765625,3.967285156249967e-05,4.1765625,-0.000474853515625,3.78984375,-0.00031259765625,1961853,HK_20240603_1826_HSHK.txt,2024-06-02 18:29:43,1,20240603_1826
2024-05-30T04:49:45Z,45,57,16,22,11.95068359375,8.501152843692676,5.688666768000338,9.624712645898878,15.342195322591463,-4.139083592020626,13.102563248449105,1.30615234375,1.30615234375,1.20697021484375,1.2664794921875,1.26800537109375,0.00515625,0.00515625,0.0,0.00515625,0.0,5.420619473104864,4.1765625,3.3569335937500165e-05,4.1765625,-0.000474853515625,3.78984375,-0.0003005126953125,1961865,HK_20240603_1826_HSHK.txt,2024-06-02 18:29:43,1,20240603_1826
2024-05-30T04:49:51Z,51,57,16,22,11.70654296875,8.163925300844728,5.350823172233106,9.287730582310576,15.006456917795528,-4.139083592020626,12.990496543168824,1.30615234375,1.30462646484375,1.20697021484375,1.2664794921875,1.26800537109375,0.00515625,0.00515625,0.0,0.0,0.00515625,5.420619473104864,4.2281249999999995,0.0003906249999999,4.2281249999999995,-0.000487060546875,5.02734375,7.009277343749982e-05,1961871,HK_20240603_1826_HSHK.txt,2024-06-02 18:29:43,1,20240603_1826
2024-06-02T03:04:13Z,13,12,15,25,0.29296875,5.463445941017717,8.38875185403015,3.8859767452659426,7.151799987908706,35.355080920028826,9.063034994292654,5.11474609375,5.2215576171875,5.18798828125,5.18035888671875,5.2154541015625,0.0103125,0.1546874999999999,0.0360937499999999,0.05671875,0.0464062499999999,1.1235710475314704,4.2281249999999995,0.0003692626953125,4.2281249999999995,-0.000487060546875,5.0015624999999995,5.80078124999997e-05,2214733,HK_20240603_1826_HSHK.txt,2024-06-02 18:29:43,1,20240603_1826
2024-06-02T03:04:19Z,19,12,15,25,5.96923828125,5.350823172233106,7.939065970569928,3.773238461846855,7.151799987908706,35.0236243039378,9.063034994292654,5.0933837890625,5.0384521484375,5.0872802734375,5.1116943359375,5.16357421875,0.04125,0.00515625,0.020625,0.0825,0.1443749999999999,1.1235710475314704,4.2281249999999995,0.0003570556640625,4.2281249999999995,-0.0004840087890625,4.92421875,4.592285156249987e-05,2214739,HK_20240603_1826_HSHK.txt,2024-06-02 18:29:43,1,20240603_1826
2024-06-02T03:04:25Z,25,12,15,25,0.9033203125,5.350823172233106,7.714173848866718,3.773238461846855,7.264291173762658,35.24460315925457,9.17538687738763,5.1666259765625,5.1483154296875,5.12237548828125,5.1666259765625,5.20172119140625,0.09796875,0.020625,0.0,0.0876562499999999,0.0825,1.1235710475314704,4.2281249999999995,0.0003448486328124,4.2281249999999995,-0.0004931640625,4.97578125,2.5781249999999868e-05,2214745,HK_20240603_1826_HSHK.txt,2024-06-02 18:29:43,1,20240603_1826
