satellite,instrument,mission,date,downlink_date,path,width,height,bytes,brightness,contrast,status,capture_start,capture_end,time_basis,iso,shutter,exposure_mode,capture_confidence,sha256
KASHIWA,CAM,,2024-06-04,2024-06-04,data/downlink/01_kashiwa/images/cam/kashiwa_20240604T1137_1d9bf5db3b.jpg,144.0,108.0,3843,146.45,81.83,ok,2024-06-04T11:37:00+09:00,2024-06-04T11:40:00+09:00,uplink+timer,auto,auto,auto,high,1d9bf5db3ba11a4e57707a6780f65cf59e92af65829d2f6ad8da21879005f334
KASHIWA,CAM,,2024-06-04,2024-06-04,data/downlink/01_kashiwa/images/cam/kashiwa_20240604T1137_5df2361024.jpg,144.0,108.0,3721,134.41,78.94,ok,2024-06-04T11:37:00+09:00,2024-06-04T11:40:00+09:00,uplink+timer,auto,auto,auto,high,5df23610248956716b9ca82921043efc06977e54d4bb7de826cfa720f3f354ea
KASHIWA,CAM,,2024-06-04,2024-06-04,data/downlink/01_kashiwa/images/cam/kashiwa_20240604T1137_64abb37cde.jpg,144.0,108.0,3660,128.01,76.66,ok,2024-06-04T11:37:00+09:00,2024-06-04T11:40:00+09:00,uplink+timer,auto,auto,auto,high,64abb37cdee42232f565aa2f5b6d18d6f03dc968950a1949fca2ce14c9038f87
KASHIWA,CAM,,2024-06-04,2024-06-06,data/downlink/01_kashiwa/images/cam/kashiwa_20240604T1137_41048ec1c9.jpg,144.0,108.0,3708,134.41,78.94,ok,2024-06-04T11:37:00+09:00,2024-06-04T11:40:00+09:00,uplink+timer,auto,auto,auto,high,41048ec1c96446e00a77539e8ed66a830672a7a01d0913e0ddaaeaab9a79f888
KASHIWA,CAM,,2024-06-06,2024-06-06,data/downlink/01_kashiwa/images/cam/kashiwa_20240606T1159_d92556e950.jpg,144.0,108.0,889,0.16,0.36,dark,2024-06-06T11:59:00+09:00,2024-06-06T12:02:00+09:00,uplink+timer,auto,auto,auto,high,d92556e95031103d3fe74b57c36244b67208a6c8ead616695f20f8599d32f8ec
KASHIWA,CAM,,2024-06-07,2024-06-08,data/downlink/01_kashiwa/images/cam/kashiwa_20240607T1724_074326e427.jpg,144.0,108.0,1403,1.32,8.76,dark,2024-06-07T17:24:00+09:00,2024-06-07T17:27:00+09:00,uplink+timer,auto,auto,auto,medium,074326e427bfb88f3338f3102ca17113c59a1c689b83b5613342c860271576e9
KASHIWA,CAM,,2024-06-08,2024-06-09,data/downlink/01_kashiwa/images/cam/kashiwa_20240608T1755_9894f8beec.jpg,144.0,108.0,884,0.04,0.19,dark,2024-06-08T17:55:00+09:00,2024-06-08T17:58:00+09:00,uplink+timer,auto,auto,auto,high,9894f8beece4c61d21de937b271986c9beca6333774a09fead9c6290fda62938
KASHIWA,CAM,,2024-06-13,2024-06-14,data/downlink/01_kashiwa/images/cam/kashiwa_20240613T1333_3dc5447a5a.jpg,80.0,45.0,2562,55.92,87.69,ok,2024-06-13T13:33:00+09:00,2024-06-13T13:38:00+09:00,uplink+timer,100,1 ms,manual,high,3dc5447a5a4df6ea650917f5754a5d31b44a40fd3adb23a677356d606af2b994
KASHIWA,CAM,,2024-06-13,2024-06-14,data/downlink/01_kashiwa/images/cam/kashiwa_20240613T1333_da7787d65a.jpg,80.0,45.0,2575,49.22,83.32,ok,2024-06-13T13:33:00+09:00,2024-06-13T13:38:00+09:00,uplink+timer,100,1 ms,manual,high,da7787d65aea76ec9c7aea3beebabbdf800605814e5474f12d9bf23967d1bd32
KASHIWA,CAM,,2024-06-13,2024-06-14,data/downlink/01_kashiwa/images/cam/kashiwa_20240613T1333_fe3313c7d0.jpg,80.0,45.0,2562,54.18,86.88,ok,2024-06-13T13:33:00+09:00,2024-06-13T13:38:00+09:00,uplink+timer,100,1 ms,manual,high,fe3313c7d011817456c8ca387cb1a4d22e84b1e7d11172e8f3c7e5be7369d6dd
