recorded_at,source,name,line1,line2
,ops_log,KASHIWA,1 59508U 98067WH  24172.75218895  .00137599  00000+0  11646-2 0  9991,2 59508  51.6313 293.1827 0011389 319.9057  40.1098 15.68688183 11059
2024-06-18T09:00:00.0000000+09:00,ops_log,KASHIWA,1 59508U 98067WH  24185.53938194  .00190072  00000+0  13130-2 0  9997,2 59508  51.6273 227.8160 0013283  11.7249 348.4056 15.73321785 13062
2024-10-19T22:03:31.564502+09:00,gs_db,KASHIWA,1 59508U 98067WH  24192.39324453  .00209706  00000-0  12807-2 0  9991,2 59508  51.6271 192.5758 0012023  41.8287 318.3629 15.76121130 14145
,n2yo,KASHIWA,1 59508U 98067WH  24223.81692925  .05053463  11994-4  16783-2 0  9993,2 59508  51.6110  27.2781 0013984 288.0051  71.9445 16.24772712 19143
